id,company,what_they_sell_publicly,evidence_url,why_fit_for_white_label,status
K01,Concurra,"Memorias técnicas para pymes de servicios (limpieza, jardinería, mantenimiento, seguridad, eventos) desde 350 €",https://www.concurra.es/,Volumen de memorias estandarizadas a precio bajo: el tiempo de redacción es su coste principal,NOT CONTACTED
K02,Licitek,Consultoría de licitaciones públicas,https://licitek.com/consultoria-licitaciones-publicas/,Consultora generalista de licitaciones,NOT CONTACTED
K03,LP Consulting,Análisis de pliegos y estudios de viabilidad de licitaciones,https://lpconsulting.es/analisis-pliegos-licitaciones/,Vende análisis de pliegos; podría externalizar primeros borradores,NOT CONTACTED
K04,EstrategiaCP,Análisis y decisión en licitaciones públicas,https://www.estrategiacp.es/servicios/analisis-y-decision/,Consultoría de licitaciones,NOT CONTACTED
K05,Hans Soluciones,"Memorias técnicas, alertas de licitaciones; guías de memorias de limpieza",https://hans-soluciones.es/,Publica guías específicas de limpieza: trabaja ese segmento,NOT CONTACTED
K06,JyR Ingenieros,Memorias técnicas para licitaciones,https://jyringenieros.com/,Especializada en memorias,NOT CONTACTED
K07,Life Sector Público,Asesoramiento en licitaciones de servicios de limpieza,https://lifesectorpublico.com/asesoramiento-licitaciones-limpieza/,Nicho de limpieza,NOT CONTACTED
K08,Licitaes,Análisis de pliegos España-Portugal,https://licitaes.es/analisis-de-pliegos-licitaciones-espana-portugal/,Análisis de pliegos,NOT CONTACTED
K09,Europa Innova Group,Guías y servicios de memorias técnicas,https://europainnovagroup.eu/memorias-tecnicas-licitaciones-guia/,Consultoría de memorias,NOT CONTACTED
K10,TuLicitacionPublica,Preparación de documentación y estudio técnico de servicios,https://www.tulicitacionpublica.com/preparacion-documentacion-estudio-tecnico-licitaciones-publicas-servicios/,Preparación de ofertas de servicios,NOT CONTACTED
