id,area,opportunity,payer,money_already_spent,verdict,reason
1,Licitaciones,Memoria técnica exprés para pymes de limpieza/jardinería/mantenimiento,Pymes licitadoras,YES (consultoras desde 350 €),TOP5-1 SELECTED,"Gasto demostrado, disparador con fecha, prospectos públicos, IA hace el 70-80%"
2,Licitaciones,Borradores de memoria en marca blanca para consultoras de licitaciones,Consultoras,INDIRECT,TOP5-2,Comprador experto y recurrente; riesgo de que usen IA propia
3,Trading,Auditoría de estrategias (falsificación) para traders de fondeo,Traders,WEAK ($30-125),TOP5-3,Distribución propia en comunidades de trading; ticket bajo
4,Licitaciones,"Alertas de garantía definitiva (5%, 10 días hábiles) para corredores de seguros de caución",Corredores de caución,UNK,TOP5-4,Disparador legal perfecto; demanda de los corredores no verificada
5,Licitaciones,Inteligencia de evaluadores: informes de valoración publicados → qué puntúa cada órgano,Licitadores y consultoras,UNK,TOP5-5,Dato público y fragmentado; moat real; más lento
6,Licitaciones,Análisis de pliego go/no-go a 149 €,Pymes,YES but commoditised,KILL,LicitaIA hace análisis de pliegos por 49 €/mes
7,Licitaciones,Alertas de licitaciones,Pymes,YES,KILL,"Mercado saturado (LicitaAlerta, LicitaFácil, Gobierto…)"
8,Licitaciones,DEUC y documentación administrativa como servicio,Pymes,YES,MERGE,Complemento de la memoria; LicitaIA genera el DEUC
9,Licitaciones,Estudio de costes y cálculo de baja temeraria,Pymes,YES,MERGE,LicitaIA lo incluye; útil como complemento
10,Licitaciones,Recursos especiales en materia de contratación,Pymes,YES,KILL,Servicio jurídico reservado a abogados
11,Licitaciones,Subcontratistas para adjudicatarios,Adjudicatarias,UNK,KILL,Matching de dos lados; lento
12,Licitaciones,Factoring o confirming para adjudicatarios,Adjudicatarias,YES,KILL,Actividad financiera regulada
13,Subvenciones,Solicitudes de subvenciones a éxito,Pymes,YES,KILL,El cobro llega meses después de la concesión; Fandit y consultoras
14,Subvenciones,Kit Consulting (asesor digital),Estado vía bono,YES,KILL,Convocatoria cerrada el 31 may 2026
15,Subvenciones,Kit Digital,Estado,YES,KILL,Programa agotado; agentes digitalizadores ya establecidos
16,Compliance,Auditoría de accesibilidad web (Ley 11/2023) para ecommerce,Ecommerce ≥10 empleados,YES (agencias),KILL (for now),Transición hasta 2030 para lo existente; escáneres gratis; poca urgencia
17,Compliance,Adaptación a Verifactu (enero 2027),Pymes,YES,KILL,Commodity; lo resuelven los editores de software y las gestorías
18,Compliance,Factura electrónica B2B (RD 238/2026),Gestorías/pymes,UNK,FROZEN,Congelado por decisión del ciclo 02
19,Compliance,CBAM como declarante,Importadores ≥50 t,UNK,KILL,Responsabilidad legal; ciclo anual lento
20,Compliance,Diligencia debida EUDR,Importadores,UNK,KILL,Fechas aplazadas dos veces
21,Compliance,Adaptación RGPD/cookies,Pymes,YES,KILL,Commodity
22,Compliance,Registro de jornada,Pymes,YES,KILL,Commodity
23,Compliance,Canal de denuncias (Ley 2/2023),Empresas ≥50,YES,KILL,SaaS baratos establecidos
24,Compliance,Plan de igualdad,Empresas ≥50,YES,KILL,Consultoras establecidas; requiere negociación con la plantilla
25,Compliance,Evaluación de riesgos del AI Act,Pymes,UNK,KILL,Obligaciones aún inciertas para pymes
26,Contabilidad,Contabilización de facturas con OCR para gestorías,Gestorías,YES,FROZEN,NO-GO en el ciclo 02
27,Contabilidad,Conciliación de pagos de marketplaces,Ecommerce,YES,KILL,"Accountali, Netto, Datali"
28,Contabilidad,Informes de cierre mensual para pymes,Pymes,YES,KILL,Las gestorías ya lo incluyen
29,Energía,Auditoría de potencia contratada,Pymes 3.0TD,YES,KILL,Ticket de unos 100 € (ciclo 01)
30,Energía,Recuperación de penalizaciones por energía reactiva,Industria,YES,MERGE,Necesita instalador
31,Energía,Paneles de seguimiento de autoconsumo,Pymes,UNK,KILL,Los instaladores lo regalan
32,Inmobiliario,Registro NRUA,Propietarios,—,KILL,Anulado por el Supremo en mayo de 2026
33,Inmobiliario,Traducción de anuncios para compradores extranjeros,Agencias,YES,KILL,Lo hacen solos con ChatGPT; replicable en un fin de semana
34,Inmobiliario,Resúmenes de notas simples y cargas,Agencias/inversores,YES,KILL,Los revendedores de notas simples ya lo ofrecen
35,Inmobiliario,Análisis de subastas del BOE,Inversores,YES,KILL,"Subastech, Subastas IA Pro, InversorBOE (gratis)"
36,Inmobiliario,Actas de juntas para administradores de fincas,Administradores de fincas,YES,KILL,"IgeraFincas desde 99 €/mes, Fynkus, IA Fincas; además riesgo RGPD por la grabación de voz"
37,Inmobiliario,Recobro de morosidad para comunidades de propietarios,Administradores de fincas,YES,KILL,Servicio jurídico
38,Inmobiliario,Informes de mercado de alquiler por zona,Propietarios/agencias,YES,KILL,Idealista y Fotocasa (datos) dominan
39,Inmobiliario,Captación de propietarios a partir de anuncios de particulares,Agencias,YES,KILL,Condiciones de los portales y RGPD
40,Construcción,Leads de obras a partir de licencias,Proveedores de construcción,"YES (Construdata21, más de 3.000 clientes)",KILL,Incumbente con datos de toda España
41,Construcción,Certificaciones de obra,Constructoras,YES,KILL,Integración profunda con su ERP
42,Construcción,Mediciones y presupuestos desde planos,Constructoras,YES,KILL,Técnicamente difícil y con responsabilidad
43,Construcción,Documentación de coordinación de actividades (CAE) de subcontratas,Constructoras,YES,KILL,Plataformas CAE establecidas
44,Construcción,Memorias técnicas para licitaciones de obra,Constructoras,YES,MERGE,Misma máquina que la #1; memorias de obra más complejas; segunda vertical
45,Hostelería,Respuestas a reseñas,Restaurantes/hoteles,YES,KILL,Commodity
46,Hostelería,Ingeniería de menú y escandallos,Restaurantes,WEAK,KILL,Poca disposición a pagar
47,Hostelería,Paridad de tarifas,Hoteles,YES,KILL,Incluido en los channel managers
48,Hostelería,Contabilización de facturas de proveedores de restaurantes,Restaurantes,YES,FROZEN,Igual que las facturas
49,Sanidad,Recepcionista IA para clínicas,Clínicas,YES,KILL,Commodity de 29-55 €/mes
50,Sanidad,Recordatorios contra el absentismo de pacientes,Clínicas,YES,KILL,Incluido en el software de gestión
51,Sanidad,Codificación y facturación médica (EE. UU.),Proveedores de EE. UU.,YES,KILL,HIPAA; sin distribución
52,Legal,Revisión de contratos para pymes,Pymes,YES,KILL,Asesoramiento jurídico
53,Legal,Admisión de casos para despachos,Despachos,YES,KILL,Saturado
54,Legal,Vigilancia de plazos procesales,Despachos,YES,KILL,Acceso a LexNET; incumbentes
